BLDG_PUBID,BLDG_TYP,BLDG_US,BLDG_LOC_REGION,BLDG_NEW_REN,$BLDG_AREA_M2,$BLDG_AREA_FT2,BLDG_STOR_A,$BLDG_STOR_A,LCA_YEAR,LCA_REFPERIOD,LCA_SOUR_CODE,LCA_STAGES,LCA_BLDG_SCOPE,LCA_MAT_Q,EC_WB_EX_OPER,EC_LCAA_PERM2,Average_Area_m2,Average_Storey
A02,Commercial,Other,North America,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2014,50,14,A,SF,Y,3236.64,871,3500,4
A02,Commercial,Mixed,Middle East,New,18581 to 46451,"200,001 to 500,000",0,More than 25,2014,50,14,A,SF,Y,37419.57,870,35000,35
A02,Commercial,Education,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2014,50,14,A,SF,Y,10022.02,863,14000,4
A02,Commercial,Other,North America,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2013,50,14,A,SF,Y,1907.32,820,3500,4
A02,Commercial,Lodging,North America,New,930 to 2323,"10,001 to 25,000",0,1 to 6,2014,50,14,A,SF,Y,801.2,802,1600,4
A02,Commercial,Education,North America,New,930 to 2323,"10,001 to 25,000",0,1 to 6,2014,50,14,A,SF,Y,801.2,802,1600,4
A02,Commercial,Education,North America,New,930 to 2323,"10,001 to 25,000",0,1 to 6,2014,50,14,A,SF,Y,801.2,802,1600,4
A02,Commercial,Education,North America,New,466 to 929,"5,001 to 10,000",0,1 to 6,2014,50,14,A,SF,Y,720.27,795,700,4
A02,Commercial,Health Care,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2014,50,14,A,SF,Y,6613.55,791,7000,4
A02,Commercial,Public Assembly,North America,New,18581 to 46451,"200,001 to 500,000",0,1 to 6,2014,50,14,A,SF,Y,23515.14,790,35000,4
A02,Commercial,Other,North America,New,18581 to 46451,"200,001 to 500,000",0,1 to 6,2014,50,14,A,SF,Y,26807.74,782,35000,4
A02,Residential,Other,North America,New,466 to 929,"5,001 to 10,000",0,7 to 14,2014,50,14,A,SF,Y,713.47,768,700,11
A02,Commercial,Education,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2013,50,14,A,SF,Y,7854.63,746,14000,4
A02,Commercial,Other,North America,New,18581 to 46451,"200,001 to 500,000",0,1 to 6,2014,50,14,A,SF,Y,16178.57,742,35000,4
A02,Commercial,Public Assembly,Europe,New,4646 to 9290,"50,001 to 100,000",0,More than 25,2014,50,14,A,SF,Y,6129.54,701,7000,35
A02,Commercial,Education,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2013,50,14,A,SF,Y,3509.87,665,7000,4
A02,Commercial,Public Assembly,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2015,50,14,A,SF,Y,11953.07,662,14000,4
A02,Commercial,Other,North America,New,94 to 465,"1,001 to 5,000",0,1 to 6,2014,50,14,A,SF,Y,280.93,661,250,4
A02,Commercial,Education,North America,New,18581 to 46451,"200,001 to 500,000",0,7 to 14,2014,50,14,A,SF,Y,24494.68,661,35000,11
A02,Residential,Other,North America,New,18581 to 46451,"200,001 to 500,000",0,More than 25,2013,50,14,A,SF,Y,23304.25,655,35000,35
A02,Commercial,Health Care,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2015,50,14,A,SF,Y,4361.23,652,7000,4
A02,Commercial,Public Assembly,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2014,50,14,A,SF,Y,3931.39,651,7000,4
A02,Commercial,Education,North America,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2013,50,14,A,SF,Y,1710.07,648,3500,4
A02,Commercial,Education,North America,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2014,50,14,A,SF,Y,2589.03,645,3500,4
A02,Commercial,Public Assembly,North America,New,930 to 2323,"10,001 to 25,000",0,1 to 6,2013,50,14,A,SF,Y,935.09,644,1600,4
A02,Commercial,Other,Europe,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2014,50,14,A,SF,Y,1871.13,643,3500,4
A02,Residential,Other,Asia-Pacific,New,Over 92903,Over 1 million,0,More than 25,2013,50,14,A,SF,Y,61423.88,639,120000,35
A02,Commercial,Public Assembly,Middle East,New,18581 to 46451,"200,001 to 500,000",0,,2014,50,14,A,SF,Y,15702.58,626,35000,
A02,Commercial,Health Care,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2013,50,14,A,SF,Y,3511.13,621,7000,4
A02,Commercial,Education,North America,New,466 to 929,"5,001 to 10,000",0,1 to 6,2013,50,14,A,SF,Y,491.75,617,700,4
A02,Commercial,Public Assembly,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2013,50,14,A,SF,Y,10784.19,610,14000,4
A02,Commercial,Education,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2013,50,14,A,SF,Y,7892.93,601,14000,4
